Date,Hour,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
6,10,111.32818212765868,1.27409952,115.48566610752991,10.034519136929648,959.502926282326,1.0,0.0,0.0,0.0,5.0,7.4,0.0,0.0,0.0,103.92818212765867
6,11,468.6352743417666,1.2799992,486.13617670307747,0.0,4326.61197265739,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,468.6352743417666
6,12,753.5388907200272,1.2714388799999998,781.6793472199454,0.0,6956.946190257512,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,753.5388907200272
6,13,613.6234303789668,1.16940912,636.5388281939487,0.0,5665.195570926145,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,613.6234303789668
6,14,761.0199886799379,1.30787808,789.4398222820935,0.0,7026.014418310631,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,761.0199886799379
6,15,1131.5503740632257,1.42066608,1173.8074419743007,0.0,10446.886233571277,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1131.5503740632257
6,16,827.6203960987789,1.5688521599999998,858.5273818452064,0.0,7640.893698422338,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,827.6203960987789
6,17,648.2653736015425,1.74352896,672.4744539435088,0.0,5985.022640097229,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,648.2653736015425
6,18,110.52945858874982,1.64392848,114.65711471862045,25.7469102738594,883.8093168463416,2.0,0.0,0.0,0.0,5.0,14.8,0.0,0.0,0.0,95.72945858874981
6,19,334.33418292471816,1.38723456,346.81969183062307,342.88114093090127,938.1576942235881,35.0,0.0,0.0,0.0,6.0,232.7180012133095,0.0,0.0,0.0,101.61618171140886
6,20,260.44431017164504,1.24032096,270.1704462361502,323.8176225621904,141.34011849666638,34.0,0.0,0.0,0.0,1.0,245.13511081987133,0.0,0.0,0.0,15.309199351773747
6,21,238.13293897265453,1.16859936,247.02587030358737,296.8508302472636,0.0,33.0,0.0,0.0,0.0,0.0,238.13293897265453,0.0,0.0,0.0,0.0
6,22,245.1351108198719,0.858924,254.28953404551365,226.83236731741536,0.0,35.0,0.0,0.0,0.0,0.0,245.1351108198719,0.0,0.0,0.0,0.0
6,23,245.13511081987204,0.8298883199999999,254.28953404551365,219.44889777952068,0.0,36.0,0.0,0.0,0.0,0.0,245.13511081987204,0.0,0.0,0.0,0.0
7,0,244.15416252962802,0.82907856,253.271952831568,218.36564758070926,0.0,34.0,0.0,0.0,0.0,0.0,244.15416252962802,0.0,0.0,0.0,0.0
7,1,240.59585062240376,0.80895024,249.5807579070615,210.15953709502298,0.0,34.0,0.0,0.0,0.0,0.0,240.59585062240376,0.0,0.0,0.0,0.0
7,2,242.6721991701223,0.8090659199999999,251.7346464420394,212.00234011673484,0.0,34.0,0.0,0.0,0.0,0.0,242.6721991701223,0.0,0.0,0.0,0.0
7,3,245.13511081987167,0.8207496,254.28953404551365,217.1250169289481,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987167,0.0,0.0,0.0,0.0
7,4,245.13511081987193,0.85406544,254.28953404551365,225.5968863588829,0.0,35.0,0.0,0.0,0.0,0.0,245.13511081987193,0.0,0.0,0.0,0.0
7,5,239.9734439834001,0.8706076800000001,248.93510786660104,224.9645688006758,0.0,34.0,0.0,0.0,0.0,0.0,239.9734439834001,0.0,0.0,0.0,0.0
7,6,231.66804979252598,0.9002217599999999,240.3195537266898,224.29546884660863,0.0,34.0,0.0,0.0,0.0,0.0,231.66804979252598,0.0,0.0,0.0,0.0
